'Ptx.Binary32.BackwardError.roundedProduct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.roundedBase' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.StageRange' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.Guards' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.stageBudget' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.qBudget' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.baseBudget' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.parameterBudget' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.Results' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.two_real' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.stage_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.results_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'Ptx.Binary32.BackwardError.results_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
