'PtxTorchLean.TensorBridge.view_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.view_map' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.layout_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.realView_eq_map' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.completed_unsigned' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.completed_unsigned_tensor' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.completed_real_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.completed_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.candidate_unsigned_tensor' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.candidate_execution_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.execution_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.real_execution_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.view_bounded_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.wraparound_execution' depends on axioms: [propext, Classical.choice, Quot.sound]
'PtxTorchLean.TensorBridge.wraparound_not_fitting' depends on axioms: [propext, Classical.choice, Quot.sound]
